"ID","deployment_date","deployment_datetime","Longitude","Latitude","proxy_site","start_date","end_date","O3.gain","O3.offset"
"AQY BB-607","2019-12-05","2019-12-05 12:30:00",-122.418807,37.962284,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-608","2020-09-17","2020-09-17 10:30:00",-122.346801,37.952227,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-609","2019-12-18","2019-12-18 11:00:00",-122.316503,37.93897,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-610","2020-03-13","2020-03-13 16:00:00",-122.336573,37.951862,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-611","2019-12-05","2019-12-05 09:30:00",-122.367769,37.938903,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2019-01-01 00:00:00","2020-07-06 06:00:00",1,0
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-06 07:00:00","2020-07-11 06:00:00",2.01404311266728,-36.3897071261575
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-11 07:00:00","2020-07-16 06:00:00",2.05069974136847,-37.9672380055566
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-16 07:00:00","2020-07-21 06:00:00",2.02794760590777,-37.5143625902659
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-21 07:00:00","2020-07-26 06:00:00",2.028424452757,-37.428957995664
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-26 07:00:00","2020-07-31 06:00:00",2.02408308079326,-37.332333242213
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-31 07:00:00","2020-08-06 06:00:00",2.00040484078664,-36.7581925629286
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-08-06 07:00:00","2020-08-11 15:00:00",1.98870637809186,-36.4498108159908
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-08-11 16:00:00","2020-08-16 15:00:00",1.98015217490775,-36.2686619142212
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-08-16 16:00:00","2020-08-21 15:00:00",2.00101653651299,-36.8380300012475
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-08-21 16:00:00","2020-08-26 15:00:00",1.89807006051546,-33.5664051547916
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-08-26 16:00:00","2020-09-01 15:00:00",1.88143005251839,-32.8492729326799
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-01 16:00:00","2020-09-06 15:00:00",1.86768073909412,-32.5172696225925
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-06 16:00:00","2020-09-11 15:00:00",1.92175392334656,-33.9889555518623
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-11 16:00:00","2020-09-16 15:00:00",2.00285533560029,-36.2122726019131
"AQY BB-633","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-16 16:00:00","2199-12-31 23:59:59",2.06065676330735,-37.7826841425013
"AQY BB-634","2019-12-06","2019-12-06 13:00:00",-122.362565,37.923745,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-635","2019-12-09","2019-12-09 18:30:00",-122.356061,37.958616,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-636","2019-12-05","2019-12-05 11:30:00",-122.386987,37.927338,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-637","2019-12-09","2019-12-09 11:30:00",-122.3381,37.939946,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-638","2019-12-21","2019-12-21 14:40:00",-122.362551,37.953197,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-639","2019-12-19","2019-12-19 11:00:00",-122.388734,37.925888,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-640","2019-12-05","2019-12-05 10:30:00",-122.362237,37.958527,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-641","2019-12-06","2019-12-06 14:00:00",-122.340619,37.913046,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2019-01-01 00:00:00","2020-07-06 06:00:00",1,0
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-06 07:00:00","2020-07-11 06:00:00",2.54398442522423,-43.4182440342349
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-07-11 07:00:00","2020-08-27 04:00:00",2.48950732859166,-42.0259738446583
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-08-27 05:00:00","2020-09-02 04:00:00",2.37932504582942,-38.0229905616002
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-02 05:00:00","2020-09-07 04:00:00",2.41332483985224,-38.6657537171681
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-07 05:00:00","2020-09-12 04:00:00",2.6780221547543,-45.0249560612449
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-12 05:00:00","2020-09-17 04:00:00",2.62815942572801,-43.2767987722439
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-17 05:00:00","2020-09-22 04:00:00",2.70584276783026,-44.6381819938588
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-22 05:00:00","2020-09-27 04:00:00",2.62780760656537,-42.12923187983
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-09-27 05:00:00","2020-10-03 04:00:00",2.56262013002227,-39.9916044118046
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-03 05:00:00","2020-10-08 04:00:00",2.62825038545944,-41.1159714286946
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-08 05:00:00","2020-10-13 04:00:00",2.62771293343206,-40.9922261745015
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-13 05:00:00","2020-10-18 04:00:00",2.6245973465051,-40.831328261824
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-18 05:00:00","2020-10-23 04:00:00",2.6986388601184,-42.2278856336273
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-23 05:00:00","2020-10-28 04:00:00",2.67786721917471,-41.2434783648551
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-10-28 05:00:00","2020-11-03 04:00:00",2.76931556527549,-42.79603070617
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-11-03 05:00:00","2020-11-08 04:00:00",2.9005772066753,-45.4274599177208
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-11-08 05:00:00","2020-11-13 04:00:00",2.91448416287225,-45.3271908587455
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-11-13 05:00:00","2020-11-18 04:00:00",2.91439068303515,-45.0104872813241
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-11-18 05:00:00","2020-11-23 04:00:00",2.89127821108816,-44.2272231277233
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-11-23 05:00:00","2020-11-28 04:00:00",2.90921150501663,-44.5681906333797
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-11-28 05:00:00","2020-12-04 04:00:00",2.91788536496285,-44.674739813438
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-12-04 05:00:00","2020-12-09 04:00:00",2.95275087051934,-45.4167808799577
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-12-09 05:00:00","2020-12-14 04:00:00",2.96465296698074,-45.572704524849
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-12-14 05:00:00","2020-12-19 04:00:00",2.98199900770429,-45.8229678396763
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-12-19 05:00:00","2020-12-24 04:00:00",2.99706640782457,-46.0582871011751
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-12-24 05:00:00","2020-12-29 04:00:00",3.00344526703116,-46.1176316871938
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2020-12-29 05:00:00","2021-01-04 04:00:00",3.02433566917686,-46.4398611551215
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-01-04 05:00:00","2021-01-09 04:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-01-09 05:00:00","2021-01-14 04:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-01-14 05:00:00","2021-01-19 04:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-01-19 05:00:00","2021-01-24 04:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-01-24 05:00:00","2021-01-29 14:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-01-29 15:00:00","2021-02-04 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-02-04 18:00:00","2021-02-09 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-02-09 18:00:00","2021-02-14 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-02-14 18:00:00","2021-02-19 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-02-19 18:00:00","2021-02-25 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-02-25 18:00:00","2021-03-03 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-03-03 18:00:00","2021-03-08 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-03-08 18:00:00","2021-03-13 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-03-13 18:00:00","2021-03-18 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-03-18 18:00:00","2021-03-23 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-03-23 18:00:00","2021-03-28 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-03-28 18:00:00","2021-04-03 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-04-03 18:00:00","2021-04-08 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-04-08 18:00:00","2021-04-13 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-04-13 18:00:00","2021-04-18 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-04-18 18:00:00","2021-04-23 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-04-23 18:00:00","2021-04-28 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-04-28 18:00:00","2021-05-04 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-05-04 18:00:00","2021-05-09 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-05-09 18:00:00","2021-05-14 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-05-14 18:00:00","2021-05-19 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-05-19 18:00:00","2021-05-24 17:00:00",3.02983253160037,-46.5395776033874
"AQY BB-642","2020-06-03","2020-06-03 12:00:00",-122.356809,37.960428,"San Pablo - Rumrill","2021-05-24 18:00:00","2199-12-31 23:59:59",3.02983253160037,-46.5395776033874
"AQY BB-643","2019-12-06","2019-12-06 11:00:00",-122.350804,37.978882,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-644","2019-12-06","2019-12-06 17:00:00",-122.33812,37.950787,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-646","2019-12-21","2019-12-21 16:00:00",-122.350017,37.91678,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-647","2019-12-16","2019-12-16 12:10:00",-122.326398,37.946382,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-648","2019-12-05","2019-12-05 13:15:00",-122.307056,37.907775,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-649","2019-12-06","2019-12-06 14:45:00",-122.309832,37.940881,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-650","2020-08-12","2020-08-12 11:00:00",-122.364117,37.931852,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-651","2019-12-09","2019-12-09 17:00:00",-122.339732,37.936658,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-652","2019-12-16","2019-12-16 11:20:00",-122.349205,37.938642,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-787","2020-08-12","2020-08-12 12:00:00",-122.33885,37.962904,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-788","2020-03-05","2020-03-05 11:30:00",-122.346511,37.94755,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-789","2020-08-12","2020-08-12 08:30:00",-122.33137,37.924758,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-790","2020-08-12","2020-08-12 10:00:00",-122.358723,37.927592,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-791","2020-08-12","2020-08-12 13:00:00",-122.349434,37.958849,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-792","2020-08-14","2020-08-14 11:00:00",-122.335447,37.994871,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-793","2020-03-13","2020-03-13 15:00:00",-122.315955,37.915453,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-794","2020-03-19","2020-03-19 10:00:00",-122.332639,37.946713,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-795","2020-03-06","2020-03-06 16:00:00",-122.284784,37.975904,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-796","2020-07-24","2020-07-24 14:30:00",-122.305837,37.979566,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-797","2020-08-14","2020-08-14 13:00:00",-122.287926,37.968896,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-798","2020-03-12","2020-03-12 13:30:00",-122.366437,37.965249,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-799","2020-07-20","2020-07-20 14:30:00",-122.356242,37.920952,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-800","2020-10-06","2020-10-06 10:50:00",-122.364609,37.942987,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-801","2020-05-11","2020-05-11 11:00:00",-122.33952,37.971666,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-802","2020-08-13","2020-08-13 12:00:00",-122.303358,37.985959,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-804","2020-09-17","2020-09-17 11:50:00",-122.337568,37.933887,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-805","2020-03-05","2020-03-05 14:30:00",-122.379561,37.912533,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-806","2020-05-12","2020-05-12 11:00:00",-122.364858,37.948007,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-807","2020-08-14","2020-08-14 10:00:00",-122.352474,37.952281,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-808","2020-05-11","2020-05-11 10:45:00",-122.335865,37.969085,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-809","2020-03-03","2020-03-03 11:15:00",-122.323812,37.935882,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-810","2020-08-12","2020-08-12 14:00:00",-122.353068,37.970754,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BB-811","2020-08-13","2020-08-13 13:30:00",-122.349649,37.927343,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BE-645A","2019-12-09","2019-12-09 13:15:00",-122.326871,37.943383,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
"AQY BE-803A","2020-03-19","2020-03-19 10:00:00",-122.3034,37.98596,"San Pablo - Rumrill","2019-01-01 00:00:00","2199-12-31 23:59:59",1,0
