AQY ID,gain_O3,offset_O3
AQY BB-607,1.230,16.5
AQY BB-609,1.091,2.3
AQY BB-611,1.338,10.6
AQY BB-634,1.267,12.3
AQY BB-635,1.881,14.4
AQY BB-636,1.180,7.0
AQY BB-637,1.777,17.1
AQY BB-638,1.492,12.6
AQY BB-639,2.373,14.2
AQY BB-640,2.456,16.6
AQY BB-641,0.872,3.0
AQY BB-643,0.998,7.6
AQY BB-644,1.153,13.2
AQY BB-646,2.632,17.7
AQY BB-647,0.906,-0.5
AQY BB-648,1.155,15.7
AQY BB-649,2.748,18.8
AQY BB-651,1.700,16.0
AQY BB-652,3.337,17.4
AQY BB-788,1.010,-1.9
AQY BB-793,0.913,-3.0
AQY BB-794,0.938,4.1
AQY BB-795,0.781,-9.5
AQY BB-798,1.015,1.3
AQY BB-801,2.073,13.7
AQY BB-805,1.165,3.2
AQY BB-806,0.959,-7.0
AQY BB-808,0.956,-2.4
AQY BB-809,1.217,3.3
